,annotation_index,index,sentence,label,gender,A1,A2,A3,keep,agreement,correct,incorrect,
656,655,3620,"Ana 's journey is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her Rubenesque physique ...",0.56,femm,1,1,1,True,3,3,0,
659,658,7086,"No , I do n't know why Steven Seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money .",0.33,masc,0,1,1,True,2,2,1,
660,659,3407,"With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .",0.88,masc,0,1,1,True,2,2,1,
661,660,4126,"Though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",0.31,femm,1,1,1,True,3,3,0,
663,662,2678,Forget about one Oscar nomination for Julianne Moore this year - she should get all five .,0.96,femm,1,1,1,True,3,3,0,
666,665,2340,"As Janice , Eileen Walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .",0.67,femm,1,1,1,True,3,3,0,
668,667,5944,( Seagal 's ) strenuous attempt at a change in expression could very well clinch him this year 's Razzie .,0.26,masc,1,1,1,True,3,3,0,
669,668,7256,"Fans of Plympton 's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers .",0.25,masc,1,1,1,True,3,3,0,
670,669,3060,( Ferrera ) has the charisma of a young woman who knows how to hold the screen .,0.82,femm,1,1,1,True,3,3,0,
671,670,1457,"... a visually seductive , unrepentantly trashy take on Rice 's second installment of her Vampire Chronicles .",0.6,femm,0,1,1,True,2,2,1,
672,671,555,Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .,0.89,femm,1,1,1,True,3,3,0,
673,672,217,Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .,0.68,femm,1,1,1,True,3,3,0,
674,673,712,"Wiseman is patient and uncompromising , letting his camera observe and record the lives of women torn apart by a legacy of abuse .",0.65,masc,1,1,1,True,3,3,0,
675,674,1150,But an unwillingness to explore beyond the surfaces of her characters prevents Nettelbeck 's film from coming together .,0.32,femm,1,1,1,True,3,3,0,
678,677,4912,"When Mr. Hundert tells us in his narration that ` this is a story without surprises , ' we nod in agreement .",0.4,masc,1,1,1,True,3,3,0,
681,680,589,"Even with a green Mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , Kilmer seems to be posing , rather than acting .",0.28,masc,0,1,1,True,2,2,1,
683,682,4943,"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",0.44,masc,1,1,1,True,3,3,0,
685,684,2964,"But Kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them .",0.79,masc,1,1,1,True,3,3,0,
686,685,196,She must have a very strong back .,0.62,femm,1,1,1,True,3,3,0,
687,686,6248,"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",0.26,femm,1,1,1,True,3,3,0,
691,690,5416,It 's impossible to indulge the fanciful daydreams of Janice Beard ( Eileen Walsh ) when her real-life persona is so charmless and vacant .,0.31,femm,1,1,1,True,3,3,0,
692,691,1055,"Lead actress GaÃ¯ , she of the impossibly long limbs and sweetly conspiratorial smile , is a towering siren .",0.88,femm,1,1,1,True,3,3,0,
693,692,2841,"The pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by Charlie Kaufman and his twin brother , Donald , and directed by Spike Jonze .",0.76,masc,0,1,1,True,2,2,1,
695,694,2634,Aniston has at last decisively broken with her Friends image in an independent film of satiric fire and emotional turmoil .,0.71,femm,1,1,1,True,3,3,0,
697,696,4033,"What might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .",0.31,masc,0,1,1,True,2,2,1,
698,697,3271,Just watch Bettany strut his stuff .,0.58,masc,1,1,1,True,3,3,0,
699,698,6060,"` Butterfingered ' is the word for the big-fisted direction of Jez Butterworth , who manages to blast even the smallest sensitivities from the romance with his clamorous approach .",0.35,masc,1,1,1,True,3,3,0,
700,699,4651,"If Welles was unhappy at the prospect of the human race splitting in two , he probably would n't be too crazy with his great-grandson 's movie splitting up in pretty much the same way .",0.25,masc,0,1,1,True,2,2,1,
701,700,6143,A grand fart coming from a director beginning to resemble someone 's crazy French grandfather .,0.1,masc,1,1,1,True,3,3,0,
702,701,1948,"She nearly glows with enthusiasm , sensuality and a conniving wit .",0.74,femm,1,1,1,True,3,3,0,
703,702,5458,Diaz wears out her welcome in her most charmless performance,0.11,femm,1,1,1,True,3,3,0,
704,703,5761,"Lucy 's a dull girl , that 's all .",0.36,femm,1,1,1,True,3,3,0,
705,704,6360,"Where Tom Green stages his gags as assaults on America 's knee-jerk moral sanctimony , Jackass lacks aspirations of social upheaval .",0.22,masc,1,1,0,True,2,2,1,
706,705,1360,Wallace seems less like he 's been burning to tell a war story than he 's been itching to somehow tack one together,0.44,masc,1,1,1,True,3,3,0,
707,706,4145,"The biggest problem with Roger Avary 's uproar against the MPAA is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",0.14,masc,1,1,1,True,3,3,0,
708,707,1810,"Although What Time offers Tsai 's usual style and themes , it has a more colorful , more playful tone than his other films .",0.81,masc,1,1,1,True,3,3,0,
711,710,194,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",0.82,masc,1,1,1,True,3,3,0,
712,711,5059,It is not the first time that director Sara Sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them .,0.11,femm,1,1,1,True,3,3,0,
713,712,4926,Sayles ... once again strands his superb performers in the same old story .,0.38,masc,1,1,1,True,3,3,0,
714,713,3228,"Miyazaki 's nonstop images are so stunning , and his imagination so vivid , that the only possible complaint you could have about Spirited Away is that there is no rest period , no timeout .",0.86,masc,1,1,1,True,3,3,0,
717,716,6647,"The biggest problem I have ( other than the very sluggish pace ) is we never really see her Esther blossom as an actress , even though her talent is supposed to be growing .",0.21,femm,1,1,1,True,3,3,0,
718,717,331,"MacDowell , whose wifty Southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",0.75,femm,1,1,1,True,3,3,0,
719,718,3520,Kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .,0.83,masc,1,1,1,True,3,3,0,
720,719,8212,"You come away thinking not only that Kate is n't very bright , but that she has n't been worth caring about and that maybe she , Janine and Molly -- an all-woman dysfunctional family -- deserve one another .",0.31,femm,1,1,1,True,3,3,0,
721,720,8301,"What we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .",0.06,femm,0,1,1,True,2,2,1,
722,721,1211,Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .,0.83,masc,1,1,1,True,3,3,0,
725,724,1709,Meyjes ... has done his homework and soaked up some jazzy new revisionist theories about the origins of Nazi politics and aesthetics .,0.72,masc,1,1,1,True,3,3,0,
726,725,1297,"But though he only scratches the surface , at least he provides a strong itch to explore more .",0.72,masc,1,1,1,True,3,3,0,
727,726,2545,It finds its moviegoing pleasures in the tiny events that could make a person who has lived her life half-asleep suddenly wake up and take notice .,0.68,femm,1,1,0,True,2,2,1,
732,731,4571,LaBute was more fun when his characters were torturing each other psychologically and talking about their genitals in public .,0.51,masc,1,1,1,True,3,3,0,
733,732,6110,"Her film is like a beautiful food entrÃ©e that is n't heated properly , so that it ends up a bit cold and relatively flavorless .",0.24,femm,1,1,1,True,3,3,0,
736,735,37,"Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .",0.9,masc,1,1,1,True,3,3,0,
737,736,2078,On the right track to something that 's creepy and effective ... It 's just going to take more than a man in a Bullwinkle costume to get there .,0.28,masc,0,1,1,True,2,2,1,
738,737,4599,There are now two signs that M. Night Shyamalan 's debut feature sucked up all he has to give to the mystic genres of cinema : Unbreakable and Signs .,0.17,masc,1,1,1,True,3,3,0,
739,738,6517,Bella is the picture of health with boundless energy until a few days before she dies .,0.5,femm,1,1,1,True,3,3,0,
740,739,1216,"Roger Michell , who did an appealing job directing Persuasion and Notting Hill in England , gets too artsy in his American debut .",0.64,masc,1,1,1,True,3,3,0,
741,740,917,"With Notorious C.H.O. Cho proves she has the stuff to stand tall with Pryor , Carlin and Murphy .",0.75,femm,1,1,1,True,3,3,0,
742,741,5107,"Benigni presents himself as the boy puppet Pinocchio , complete with receding hairline , weathered countenance and American Breckin Meyer 's ridiculously inappropriate Valley Boy voice .",0.46,masc,1,1,1,True,3,3,0,
743,742,45,"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",0.58,femm,1,1,1,True,3,3,0,
746,745,465,Her film is unrelentingly claustrophobic and unpleasant .,0.06,femm,1,1,1,True,3,3,0,
751,750,696,"The Bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .",0.83,masc,0,1,1,True,2,2,1,
752,751,1777,"13 Conversations may be a bit too enigmatic and overly ambitious to be fully successful , but Sprecher and her screenwriting partner and sister , Karen Sprecher , do n't seem ever to run out of ideas .",0.4,femm,0,1,1,True,2,2,1,
753,752,5404,"As the sulking , moody male hustler in the title role , ( Franco ) has all of Dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability .",0.32,masc,1,1,1,True,3,3,0,
754,753,5181,"Queen of the Damned as you might have guessed , makes sorry use of Aaliyah in her one and only starring role -- she does little here but point at things that explode into flame .",0.29,femm,0,1,1,True,2,2,1,
756,755,3428,Count on his movie to work at the back of your neck long after you leave the theater .,0.5,masc,1,0,1,True,2,2,1,
757,756,3037,"With an obvious rapport with her actors and a striking style behind the camera , HÃ©lÃ¨ne Angel is definitely a director to watch .",0.88,femm,1,1,1,True,3,3,0,
759,758,3742,"This is one of Mr. Chabrol 's subtlest works , but also one of his most uncanny .",0.76,masc,1,1,1,True,3,3,0,
761,760,4556,"Davis has energy , but she does n't bother to make her heroine 's book sound convincing , the gender-war ideas original , or the comic scenes fly .",0.53,femm,1,1,1,True,3,3,0,
764,763,5256,"In any case , I would recommend Big Bad Love only to Winger fans who have missed her since 1995 's Forget Paris .",0.39,femm,1,0,1,True,2,2,1,
765,764,7702,Slap her - she 's not funny !,0.21,femm,1,1,1,True,3,3,0,
768,767,2719,"( Gulpilil ) is a commanding screen presence , and his character 's abundant humanism makes him the film 's moral compass .",0.69,masc,1,1,1,True,3,3,0,
769,768,1695,Jackie Chan movies are a guilty pleasure - he 's easy to like and always leaves us laughing .,0.78,masc,1,1,1,True,3,3,0,
770,769,245,Griffiths proves she 's that rare luminary who continually raises the standard of her profession .,0.83,femm,1,1,1,True,3,3,0,
771,770,6869,"Bray is completely at sea ; with nothing but a Savage Garden music video on his resume , he has no clue about making a movie .",0.11,masc,1,1,1,True,3,3,0,
772,771,1797,"As commander-in-chief of this film , Bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",0.85,femm,1,1,1,True,3,3,0,
773,772,995,"A lot of the credit for the film 's winning tone must go to Grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the Atlantic love him .",0.67,masc,1,1,1,True,3,3,0,
774,773,392,"With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path .",0.83,femm,1,1,1,True,3,3,0,
775,774,5568,He has a great cast and a great idea .,0.89,masc,1,1,1,True,3,3,0,
776,775,578,"It 's the perfect star vehicle for Grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona .",0.67,masc,0,1,1,True,2,2,1,
778,777,4843,Kapur 's contradictory feelings about his material result in a movie that works against itself .,0.32,masc,1,1,1,True,3,3,0,
779,778,2530,Mike Leigh populates his movie with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life,0.86,masc,1,1,1,True,3,3,0,
781,780,2261,"If Reno is to the left of liberal on the political spectrum , her tough , funny , rather chaotic show is n't subversive so much as it is nit-picky about the hypocrisies of our time .",0.54,femm,1,1,1,True,3,3,0,
782,781,964,"Green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .",0.18,masc,1,1,1,True,3,3,0,
783,782,1234,"She 's all-powerful , a voice for a pop-cyber culture that feeds on her Bjorkness .",0.75,femm,1,1,1,True,3,3,0,
785,784,1243,"Birot is a competent enough filmmaker , but her story has nothing fresh or very exciting about it .",0.25,femm,1,1,1,True,3,3,0,
786,785,549,"The script kicks in , and Mr. Hartley 's distended pace and foot-dragging rhythms follow .",0.39,masc,1,1,1,True,3,3,0,
787,786,1983,"All leather pants & augmented boobs , Hawn is hilarious as she tries to resuscitate the fun-loving libertine lost somewhere inside the conservative , handbag-clutching Sarandon .",0.64,femm,1,1,1,True,3,3,0,
